team,rating,matches,last_match
Spain,2188.9,347,2026-07-06
Argentina,2163.8,347,2026-07-06
France,2158.5,355,2026-07-04
England,2097.4,323,2026-07-05
Colombia,2048.9,328,2026-07-07
Morocco,2044.2,312,2026-07-04
Brazil,2039.1,376,2026-07-05
Portugal,2014.2,338,2026-07-06
Mexico,2005.5,478,2026-07-05
Netherlands,2005.0,324,2026-06-29
Norway,2000.2,286,2026-07-05
Switzerland,1979.7,291,2026-07-07
Belgium,1965.3,291,2026-07-06
Japan,1955.5,400,2026-06-29
Germany,1950.8,356,2026-06-29
Ecuador,1924.6,319,2026-06-30
Croatia,1899.1,309,2026-07-02
Australia,1889.4,300,2026-07-03
Senegal,1887.3,312,2026-07-01
Uruguay,1885.3,322,2026-06-26
Iran,1877.4,355,2026-06-26
Turkey,1875.1,314,2026-06-25
Nigeria,1872.9,324,2026-06-10
Italy,1872.0,328,2026-06-07
Denmark,1871.1,290,2026-06-07
Paraguay,1860.5,310,2026-07-04
United States,1846.3,428,2026-07-06
Austria,1845.0,260,2026-07-02
Egypt,1843.5,358,2026-07-06
Algeria,1838.8,307,2026-07-03
Ivory Coast,1832.8,305,2026-06-30
South Korea,1830.5,402,2026-06-24
Canada,1830.4,261,2026-07-04
Russia,1810.6,262,2026-06-09
Jersey,1804.0,85,2025-07-18
DR Congo,1796.8,270,2026-07-01
Venezuela,1788.5,300,2026-06-09
Scotland,1782.3,244,2026-06-24
Ukraine,1771.0,278,2026-06-07
Chile,1763.1,331,2026-06-09
Sweden,1754.7,345,2026-06-30
Panama,1752.2,365,2026-06-27
Serbia,1751.5,293,2026-06-04
Greece,1748.2,284,2026-06-07
Guernsey,1742.8,78,2023-07-13
Costa Rica,1736.9,399,2026-06-10
Peru,1731.0,299,2026-06-08
Uzbekistan,1724.9,295,2026-06-27
Isle of Man,1723.7,45,2025-07-18
Poland,1722.9,324,2026-06-03
Cameroon,1721.8,298,2026-03-31
Kosovo,1719.8,104,2026-06-07
Hungary,1716.8,272,2026-06-09
Cape Verde,1716.1,187,2026-07-03
Czech Republic,1712.2,295,2026-06-24
Republic of Ireland,1710.8,280,2026-06-05
Northern Cyprus,1710.5,31,2018-06-09
Jordan,1709.9,386,2026-06-27
Honduras,1705.9,368,2026-06-06
Saudi Arabia,1703.9,419,2026-06-26
Mali,1700.3,260,2026-06-04
Wales,1696.4,243,2026-06-06
South Africa,1690.7,377,2026-06-28
Padania,1690.2,45,2019-06-08
Occitania,1688.0,33,2014-12-30
Bolivia,1685.9,249,2026-06-10
Slovenia,1680.7,258,2026-06-07
United Arab Emirates,1680.3,355,2025-12-15
Basque Country,1678.7,26,2025-11-15
Slovakia,1671.1,285,2026-06-05
Ghana,1669.2,312,2026-07-03
Iraq,1667.4,387,2026-06-26
New Zealand,1661.8,180,2026-06-26
Georgia,1661.6,249,2026-06-05
Jamaica,1658.1,348,2026-06-06
Haiti,1653.0,260,2026-06-24
Iraqi Kurdistan,1650.9,27,2016-06-04
Guatemala,1644.4,294,2026-06-07
Ynys Môn,1643.5,43,2025-07-17
Romania,1643.3,281,2026-06-06
Tunisia,1641.8,343,2026-06-25
Burkina Faso,1641.7,284,2026-06-09
Abkhazia,1634.3,33,2019-06-08
Isle of Wight,1634.0,26,2023-07-13
Bosnia and Herzegovina,1632.1,253,2026-07-01
Israel,1631.1,219,2026-06-03
Albania,1623.9,248,2026-06-06
Catalonia,1613.9,22,2019-03-25
Kárpátalja,1609.8,11,2018-06-09
Northern Ireland,1607.7,235,2026-06-08
Syria,1601.2,318,2026-06-05
Curaçao,1599.1,153,2026-06-25
Réunion,1599.0,46,2023-09-02
Suriname,1596.9,148,2026-03-26
New Caledonia,1596.8,120,2026-03-26
County of Nice,1590.6,9,2015-06-21
Palestine,1589.1,218,2026-06-09
North Macedonia,1588.1,258,2026-06-01
Oman,1588.0,382,2026-06-05
Angola,1587.9,284,2026-06-09
Tamil Eelam,1586.9,28,2025-07-04
Andalusia,1586.4,9,2013-06-07
Kernow,1585.3,8,2023-07-16
Panjab,1583.7,19,2019-12-29
Rhodes,1573.8,14,2011-06-27
Iceland,1573.0,279,2026-06-09
Menorca,1570.9,25,2023-07-13
Ellan Vannin,1570.3,22,2018-06-03
China,1569.8,327,2026-06-09
Kurdistan,1569.8,5,2013-06-28
Guinea,1567.3,226,2026-06-04
Artsakh,1565.3,11,2019-06-08
Thailand,1564.9,341,2026-06-09
Yorkshire,1557.0,7,2019-06-01
Chameria,1551.6,7,2023-07-01
Bahrain,1550.8,412,2026-06-05
Zanzibar,1549.1,81,2025-01-13
Arameans Suryoye,1547.3,10,2014-06-08
Quebec,1546.4,3,2013-06-27
Qatar,1546.1,420,2026-06-24
Cascadia,1545.6,7,2019-05-25
Zambia,1545.2,359,2026-03-31
Corsica,1544.5,7,2017-05-26
Finland,1542.0,292,2026-06-05
Guadeloupe,1535.3,143,2025-06-24
Trinidad and Tobago,1534.4,364,2026-06-09
Gambia,1532.5,145,2026-05-29
Libya,1532.0,227,2026-03-31
Indonesia,1531.8,256,2026-06-09
Belarus,1531.6,254,2026-06-09
Maule Sur,1528.3,2,2022-06-19
Benin,1528.1,197,2026-06-09
Malaysia,1526.0,295,2025-11-18
Shetland,1523.2,37,2025-07-17
Gabon,1522.7,217,2026-03-30
Galicia,1519.9,8,2024-05-21
Western Armenia,1518.4,16,2019-06-09
Elba Island,1517.0,2,2022-07-16
Nicaragua,1516.1,162,2026-06-05
Parishes of Jersey,1515.6,3,2019-06-02
Surrey,1515.0,1,2018-05-06
Biafra,1514.9,3,2022-05-25
