team,elo,reach_QF,reach_SF,reach_final,champion
France,2159,82.0,64.4,42.7,27.8
Argentina,2150,88.2,66.0,39.4,20.1
Spain,2148,61.8,52.7,28.3,18.0
Brazil,2086,72.7,43.3,22.5,9.5
Portugal,2045,38.2,28.7,10.7,5.1
Morocco,2026,69.8,23.2,10.6,4.8
England,2062,48.0,22.7,10.9,4.1
Mexico,2045,52.0,23.0,10.8,3.8
Colombia,2044,57.8,19.9,8.7,3.1
Switzerland,1964,42.2,10.3,3.5,0.9
Norway,1960,27.3,11.1,3.6,0.8
Belgium,1913,46.9,9.2,2.1,0.6
Paraguay,1887,18.0,7.6,2.3,0.6
United States,1904,53.1,9.4,2.1,0.5
Canada,1868,30.2,4.8,1.3,0.3
Egypt,1870,11.8,3.9,0.7,0.1
